shape,x1,y1,x2,y2,x3,y3,id
triangle,343.75,568.75,325.0,600.0,362.5,600.0,105
triangle,381.25,568.75,362.5,600.0,400.0,600.0,106
triangle,343.75,568.75,381.25,568.75,362.5,600.0,107
triangle,287.5,537.5,325.0,537.5,306.25,568.75,108
triangle,325.0,537.5,362.5,537.5,343.75,568.75,109
triangle,306.25,568.75,343.75,568.75,325.0,600.0,110
triangle,325.0,537.5,306.25,568.75,343.75,568.75,111
triangle,175.0,475.0,212.5,475.0,193.75,506.25,112
triangle,212.5,475.0,250.0,475.0,231.25,506.25,113
triangle,193.75,506.25,231.25,506.25,212.5,537.5,114
triangle,212.5,475.0,193.75,506.25,231.25,506.25,115
triangle,250.0,475.0,287.5,475.0,268.75,506.25,116
triangle,287.5,475.0,325.0,475.0,306.25,506.25,117
triangle,268.75,506.25,306.25,506.25,287.5,537.5,118
triangle,287.5,475.0,268.75,506.25,306.25,506.25,119
triangle,212.5,537.5,250.0,537.5,231.25,568.75,120
triangle,250.0,537.5,287.5,537.5,268.75,568.75,121
triangle,231.25,568.75,268.75,568.75,250.0,600.0,122
triangle,250.0,537.5,231.25,568.75,268.75,568.75,123
triangle,250.0,475.0,231.25,506.25,268.75,506.25,124
triangle,231.25,506.25,212.5,537.5,250.0,537.5,125
triangle,268.75,506.25,250.0,537.5,287.5,537.5,126
triangle,231.25,506.25,268.75,506.25,250.0,537.5,127
triangle,550.0,350.0,531.25,381.25,568.75,381.25,128
triangle,531.25,381.25,512.5,412.5,550.0,412.5,129
triangle,568.75,381.25,550.0,412.5,587.5,412.5,130
triangle,531.25,381.25,568.75,381.25,550.0,412.5,131
triangle,512.5,412.5,493.75,443.75,531.25,443.75,132
triangle,493.75,443.75,475.0,475.0,512.5,475.0,133
triangle,531.25,443.75,512.5,475.0,550.0,475.0,134
triangle,493.75,443.75,531.25,443.75,512.5,475.0,135
triangle,587.5,412.5,568.75,443.75,606.25,443.75,136
triangle,568.75,443.75,550.0,475.0,587.5,475.0,137
triangle,606.25,443.75,587.5,475.0,625.0,475.0,138
triangle,568.75,443.75,606.25,443.75,587.5,475.0,139
triangle,512.5,412.5,550.0,412.5,531.25,443.75,140
triangle,550.0,412.5,587.5,412.5,568.75,443.75,141
triangle,531.25,443.75,568.75,443.75,550.0,475.0,142
triangle,550.0,412.5,531.25,443.75,568.75,443.75,143
triangle,475.0,475.0,456.25,506.25,493.75,506.25,144
triangle,456.25,506.25,437.5,537.5,475.0,537.5,145
triangle,493.75,506.25,475.0,537.5,512.5,537.5,146
triangle,456.25,506.25,493.75,506.25,475.0,537.5,147
triangle,437.5,537.5,418.75,568.75,456.25,568.75,148
triangle,418.75,568.75,400.0,600.0,437.5,600.0,149
triangle,456.25,568.75,437.5,600.0,475.0,600.0,150
triangle,418.75,568.75,456.25,568.75,437.5,600.0,151
triangle,512.5,537.5,493.75,568.75,531.25,568.75,152
triangle,493.75,568.75,475.0,600.0,512.5,600.0,153
triangle,531.25,568.75,512.5,600.0,550.0,600.0,154
triangle,493.75,568.75,531.25,568.75,512.5,600.0,155
triangle,437.5,537.5,475.0,537.5,456.25,568.75,156
triangle,475.0,537.5,512.5,537.5,493.75,568.75,157
triangle,456.25,568.75,493.75,568.75,475.0,600.0,158
triangle,475.0,537.5,456.25,568.75,493.75,568.75,159
triangle,625.0,475.0,606.25,506.25,643.75,506.25,160
triangle,606.25,506.25,587.5,537.5,625.0,537.5,161
triangle,643.75,506.25,625.0,537.5,662.5,537.5,162
triangle,606.25,506.25,643.75,506.25,625.0,537.5,163
