1,101,-1,-1,p
2,100,-1,-1,p
3,110,-1,-1,p
4,103,-1,-1,p
5,102,-1,-1,p
6,104,-1,-1,p
7,99,105,-1,p
8,98,111,-1,p
9,97,-1,-1,p
10,112,113,114,p
11,108,-1,-1,p
12,107,-1,-1,p
13,106,-1,-1,p
14,96,-1,-1,p
15,88,109,-1,p
16,89,-1,-1,p
17,90,-1,-1,p
18,91,-1,-1,p
20,87,-1,-1,p
21,86,94,95,p
22,93,-1,-1,p
23,92,-1,-1,p
24,67,-1,-1,p
25,66,-1,-1,p
26,64,65,-1,p
27,63,-1,-1,p
28,62,-1,-1,p
29,61,-1,-1,p
30,60,-1,-1,p
31,59,-1,-1,p
32,68,-1,-1,p
33,83,-1,-1,p
34,81,82,85,p
35,69,-1,-1,p
36,84,-1,-1,p
37,78,79,80,p
38,75,76,77,p
39,72,-1,-1,p
40,71,-1,-1,p
41,70,-1,-1,p
42,73,-1,-1,p
43,74,-1,-1,p
59,59,-1,-1,p
1,13,-1,-1,b
2,12,-1,-1,b
3,11,-1,-1,b
4,15,-1,-1,b
5,14,-1,-1,b
6,16,-1,-1,b
7,7,8,-1,b
8,9,10,-1,b
9,51,-1,-1,b
10,52,53,54,b
11,18,-1,-1,b
12,17,-1,-1,b
13,6,-1,-1,b
14,50,-1,-1,b
15,4,19,-1,b
16,5,-1,-1,b
17,0,-1,-1,b
18,49,-1,-1,b
19,20,21,22,b
20,3,-1,-1,b
21,1,2,-1,b
22,47,-1,-1,b
23,48,-1,-1,b
24,26,-1,-1,b
25,25,-1,-1,b
26,23,24,-1,b
27,58,-1,-1,b
28,57,-1,-1,b
29,55,-1,-1,b
30,45,-1,-1,b
31,46,-1,-1,b
32,27,-1,-1,b
33,33,-1,-1,b
34,34,43,44,b
35,31,-1,-1,b
36,32,-1,-1,b
37,35,36,37,b
38,40,41,42,b
39,28,-1,-1,b
40,29,-1,-1,b
41,30,-1,-1,b
42,39,-1,-1,b
43,38,-1,-1,b
